sofifa_id,short_name,long_name,age,overall,weak_foot,skill_moves,team_position,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
201535,R. Varane,Raphaël Varane,26,85,3,2,RCB,83,45,62,63,85,80,36,40,83,75,42,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59,43,84,87,86,85,11,11,9,5,14
212190,N. Süle,Niklas Süle,23,85,3,2,RCB,72,42,55,50,86,82,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75,85,89,87,15,7,14,7,15
223848,S. Milinković-Savić,Sergej Milinković-Savić,24,85,4,4,RDM,67,79,80,83,77,84,64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7
231866,Rodri,Rodrigo Hernández Cascante,23,85,4,3,SUB,67,68,77,77,82,80,63,64,75,85,59,76,65,54,82,82,68,66,69,82,72,74,69,84,80,76,76,84,75,82,46,85,82,84,78,10,10,7,14,8
208421,Saúl,Saúl Ñíguez Esclápez,24,85,4,3,LCM,70,78,79,81,78,78,69,78,83,85,76,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82,55,83,77,78,77,7,13,12,10,9
209499,Fabinho,Fábio Henrique Tavares,25,85,2,3,CDM,68,69,78,77,85,83,75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85,13,12,6,8,8
216267,A. Robertson,Andrew Robertson,25,85,2,3,LB,85,62,77,79,80,75,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80,11,8,10,7,14
216460,J. Giménez,José María Giménez de Vargas,24,85,3,2,RCB,69,45,52,54,86,82,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75,88,86,86,9,11,7,10,15
220440,C. Lenglet,Clément Lenglet,24,85,4,2,LCB,75,45,68,65,86,80,55,39,82,81,37,57,59,31,75,76,77,74,62,84,60,58,86,75,82,46,80,87,54,66,49,82,90,83,81,10,10,9,12,7
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,85,4,4,RCM,77,83,87,85,65,74,86,77,58,86,86,85,86,87,87,87,79,76,78,84,79,89,72,92,67,88,70,73,81,88,87,86,66,64,57,12,14,15,8,14
199482,A. Lopes,Anthony Lopes,28,85,2,1,GK,,,,,,,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,56,82,36,73,18,43,25,9,48,16,65,13,15,13,87,80,75,84,89
185122,P. Gulácsi,Péter Gulácsi,29,85,2,1,GK,,,,,,,16,10,23,29,10,19,18,11,25,25,42,44,41,82,42,61,67,35,74,12,34,23,11,42,24,45,25,16,20,84,86,81,84,86
189117,R. Bürki,Roman Bürki,28,85,2,1,GK,,,,,,,15,8,17,37,13,12,13,12,24,23,44,54,49,83,52,56,74,36,74,14,35,18,10,50,20,58,11,13,16,86,80,74,83,89
192505,R. Lukaku,Romelu Lukaku,26,85,4,3,LS,75,82,73,72,35,84,72,84,85,75,77,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73,78,81,30,30,30,8,15,14,7,10
192774,K. Manolas,Kostas Manolas,28,85,2,2,RCB,82,25,42,60,86,81,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85,87,87,89,8,6,8,15,12
194404,Neto,Norberto Murara Neto,29,85,2,1,SUB,,,,,,,11,15,14,36,12,19,12,13,41,24,56,52,59,79,49,59,83,41,63,20,40,15,11,42,22,64,17,14,15,86,81,79,82,82
197445,D. Alaba,David Olatukunbo Alaba,27,85,4,3,LB,83,73,81,80,80,76,82,63,74,82,68,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77,79,80,80,80,80,5,7,14,15,9
201399,M. Icardi,Mauro Emanuel Icardi Rivero,26,85,4,3,RES,75,84,61,77,36,69,46,89,88,73,85,75,58,45,54,80,76,75,75,85,76,84,94,67,73,70,56,22,92,64,82,79,45,24,20,13,9,5,7,9
204963,Carvajal,Daniel Carvajal Ramos,27,85,3,3,RB,81,47,78,81,82,80,84,41,70,83,34,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74,45,82,83,83,85,13,13,15,9,15
208670,H. Ziyech,Hakim Ziyech,26,85,2,4,RAM,80,75,86,83,50,66,84,73,53,86,74,83,90,78,89,83,83,77,86,84,78,80,37,84,58,77,73,52,82,89,67,77,44,56,40,11,7,11,8,14
41236,Z. Ibrahimović,Zlatan Ibrahimović,37,85,4,5,ST,56,88,77,77,34,78,70,86,83,77,88,77,80,78,73,84,57,55,72,82,39,90,68,59,87,88,84,20,91,84,89,90,28,37,24,13,15,10,9,12
143076,A. Gómez,Alejandro Darío Gómez,31,85,4,4,CAM,89,78,81,86,39,55,81,79,38,81,72,85,79,79,74,85,94,85,92,81,94,76,70,70,46,79,56,40,82,85,72,84,50,30,34,8,11,12,9,6
167664,G. Higuaín,Gonzalo Gerardo Higuaín,31,85,4,3,SUB,63,85,71,80,31,71,68,88,77,75,88,80,74,62,60,84,62,64,72,86,69,86,78,60,84,80,50,20,90,75,70,85,35,22,18,5,12,7,5,10
170890,B. Matuidi,Blaise Matuidi,32,85,2,2,SUB,75,66,76,78,83,81,74,60,68,83,72,76,60,52,77,79,77,73,83,84,79,78,84,90,74,67,86,86,72,74,56,82,85,84,86,8,11,5,10,14
173731,G. Bale,Gareth Frank Bale,29,85,3,4,SUB,91,87,82,82,58,76,86,84,84,81,85,83,90,87,80,84,90,91,79,80,65,92,86,73,80,90,65,59,85,79,76,85,54,55,52,15,15,11,5,6
176676,Marcelo,Marcelo Vieira da Silva Júnior,31,85,4,5,LB,81,74,83,89,77,79,89,73,75,85,63,89,84,67,77,92,82,80,85,85,86,82,77,79,78,70,81,81,83,80,59,85,71,79,82,12,5,5,5,9
177413,A. Witsel,Axel  Witsel,30,85,4,4,LDM,73,74,80,79,83,81,69,71,81,89,77,78,69,68,84,84,67,77,76,85,67,78,77,82,82,74,79,80,75,80,76,92,82,85,83,5,7,7,10,7
191043,Alex Sandro,Alex Sandro Lobo Silva,28,85,3,3,LB,83,65,77,80,82,82,84,55,76,81,68,80,78,59,71,81,81,85,78,84,77,80,79,91,78,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5
192629,Iago Aspas,Iago Aspas Juncal,31,85,3,3,RS,78,84,77,85,35,64,80,88,78,79,83,86,80,76,68,85,80,76,87,85,72,79,66,71,60,82,63,39,86,79,82,85,39,21,18,12,16,9,12,13
193747,Koke,Jorge Resurrección Merodio,27,85,4,3,RM,68,75,86,82,74,79,86,72,61,89,56,82,85,76,87,85,70,67,71,87,80,84,63,92,75,81,79,79,82,85,59,84,74,78,64,14,12,5,10,13
198710,J. Rodríguez,James David Rodríguez Rubio,27,85,2,4,SUB,55,86,87,86,50,63,90,83,62,86,90,85,89,86,83,90,57,54,80,84,76,86,46,65,64,92,60,55,80,86,81,87,52,41,44,15,15,15,5,14
199914,Allan,Allan Marques Loureiro,28,85,3,4,RCM,75,71,78,84,85,84,70,74,59,86,56,84,65,49,79,84,79,71,82,89,86,73,69,94,79,69,90,89,79,80,53,85,88,88,86,13,13,5,5,8
233049,J. Sancho,Jadon Sancho,19,84,4,5,RM,88,72,77,90,36,60,78,78,37,83,80,92,81,48,59,88,89,87,91,84,90,68,51,77,59,62,43,29,78,83,57,80,32,45,34,7,11,10,11,13
235790,K. Havertz,Kai Havertz,20,84,4,4,RF,84,78,79,84,44,65,73,81,74,85,80,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82,69,84,39,46,38,6,8,11,10,12
231443,O. Dembélé,Ousmane Dembélé,22,84,5,5,SUB,93,79,80,87,36,57,84,79,43,82,76,89,82,64,76,85,94,93,89,78,83,83,59,69,52,78,54,36,78,78,75,82,42,30,33,6,6,14,10,13
206585,Kepa,Kepa Arrizabalaga,24,84,4,1,GK,,,,,,,25,11,18,51,18,10,25,19,53,16,34,33,41,78,39,65,71,37,51,14,18,21,15,57,24,63,19,18,16,84,82,86,80,85
210514,João Cancelo,João Pedro Cavaco Cancelo,25,84,3,4,SUB,90,65,80,84,78,71,86,58,68,81,62,85,82,69,75,84,89,90,82,84,79,80,72,92,60,68,73,78,78,78,46,82,79,80,80,6,9,15,14,14
211117,D. Alli,Bamidele Alli,23,84,3,4,CAM,72,81,79,82,71,79,68,82,83,84,79,83,75,68,80,86,68,76,75,86,62,78,71,89,72,80,84,74,88,83,74,87,70,70,63,7,6,9,11,8
220814,L. Hernández,Lucas Hernández,23,84,3,2,LCB,81,54,70,71,83,82,78,53,82,79,46,65,59,39,63,79,79,83,70,85,68,62,85,83,79,51,86,83,62,63,42,76,81,84,86,10,7,8,14,10
230658,Arthur,Arthur Henrique Ramos Oliveira Melo,22,84,3,4,SUB,69,71,81,86,73,70,70,69,58,88,63,86,74,60,82,88,71,67,79,83,89,74,68,73,67,73,75,75,75,86,69,81,76,76,70,6,13,13,11,12
202556,M. Depay,Memphis Depay,25,84,3,5,LW,87,80,81,84,32,78,83,78,65,80,74,84,85,88,74,85,87,87,81,79,79,87,74,79,80,81,75,28,83,85,71,78,29,31,20,8,14,6,12,10
209658,L. Goretzka,Leon Goretzka,24,84,4,3,SUB,81,77,80,81,75,79,75,76,80,84,68,81,76,75,79,84,84,78,76,84,70,79,74,86,75,83,80,79,79,82,60,80,72,74,73,13,8,15,11,9
